,0
67,"(Timestamp('2021-07-01 09:00:00'), Timestamp('2021-07-02 02:00:00'))"
68,"(Timestamp('2021-07-03 09:00:00'), Timestamp('2021-07-04 02:00:00'))"
69,"(Timestamp('2021-07-04 09:00:00'), Timestamp('2021-07-04 23:00:00'))"
70,"(Timestamp('2022-02-07 18:00:00'), Timestamp('2022-02-07 21:00:00'))"
71,"(Timestamp('2021-07-05 21:00:00'), Timestamp('2021-07-06 02:00:00'))"
72,"(Timestamp('2021-07-08 09:00:00'), Timestamp('2021-07-08 12:00:00'))"
73,"(Timestamp('2022-02-11 18:00:00'), Timestamp('2022-02-11 21:00:00'))"
74,"(Timestamp('2021-07-09 12:00:00'), Timestamp('2021-07-09 19:00:00'))"
75,"(Timestamp('2022-02-14 18:00:00'), Timestamp('2022-02-14 21:00:00'))"
76,"(Timestamp('2021-07-14 10:00:00'), Timestamp('2021-07-14 19:00:00'))"
77,"(Timestamp('2021-07-15 11:00:00'), Timestamp('2021-07-15 17:00:00'))"
78,"(Timestamp('2022-02-16 18:00:00'), Timestamp('2022-02-16 21:00:00'))"
79,"(Timestamp('2022-02-17 18:00:00'), Timestamp('2022-02-17 21:00:00'))"
80,"(Timestamp('2021-07-16 23:00:00'), Timestamp('2021-07-17 02:00:00'))"
81,"(Timestamp('2021-07-17 10:00:00'), Timestamp('2021-07-17 18:00:00'))"
82,"(Timestamp('2021-07-18 11:00:00'), Timestamp('2021-07-19 02:00:00'))"
83,"(Timestamp('2022-02-19 18:00:00'), Timestamp('2022-02-19 21:00:00'))"
84,"(Timestamp('2021-07-19 10:00:00'), Timestamp('2021-07-20 02:00:00'))"
85,"(Timestamp('2022-02-20 18:00:00'), Timestamp('2022-02-20 21:00:00'))"
86,"(Timestamp('2021-07-20 09:00:00'), Timestamp('2021-07-21 02:00:00'))"
87,"(Timestamp('2021-07-22 09:00:00'), Timestamp('2021-07-22 20:00:00'))"
88,"(Timestamp('2021-07-22 23:00:00'), Timestamp('2021-07-23 02:00:00'))"
89,"(Timestamp('2021-07-28 22:00:00'), Timestamp('2021-07-29 02:00:00'))"
90,"(Timestamp('2021-07-29 10:00:00'), Timestamp('2021-07-29 19:00:00'))"
91,"(Timestamp('2021-07-30 14:00:00'), Timestamp('2021-07-30 18:00:00'))"
92,"(Timestamp('2021-07-30 22:00:00'), Timestamp('2021-07-31 01:00:00'))"
93,"(Timestamp('2021-08-03 13:00:00'), Timestamp('2021-08-04 01:00:00'))"
94,"(Timestamp('2021-08-04 11:00:00'), Timestamp('2021-08-05 02:00:00'))"
95,"(Timestamp('2021-08-05 11:00:00'), Timestamp('2021-08-06 02:00:00'))"
96,"(Timestamp('2021-08-06 11:00:00'), Timestamp('2021-08-07 02:00:00'))"
97,"(Timestamp('2021-08-07 10:00:00'), Timestamp('2021-08-08 02:00:00'))"
98,"(Timestamp('2021-08-11 09:00:00'), Timestamp('2021-08-12 02:00:00'))"
99,"(Timestamp('2021-08-12 09:00:00'), Timestamp('2021-08-13 02:00:00'))"
100,"(Timestamp('2021-08-16 10:00:00'), Timestamp('2021-08-17 02:00:00'))"
101,"(Timestamp('2021-08-17 09:00:00'), Timestamp('2021-08-18 02:00:00'))"
102,"(Timestamp('2021-08-18 13:00:00'), Timestamp('2021-08-18 22:00:00'))"
103,"(Timestamp('2021-08-19 16:00:00'), Timestamp('2021-08-20 02:00:00'))"
104,"(Timestamp('2021-08-20 21:00:00'), Timestamp('2021-08-21 01:00:00'))"
105,"(Timestamp('2021-08-21 12:00:00'), Timestamp('2021-08-22 02:00:00'))"
106,"(Timestamp('2021-08-22 09:00:00'), Timestamp('2021-08-22 15:00:00'))"
107,"(Timestamp('2021-08-22 16:00:00'), Timestamp('2021-08-23 02:00:00'))"
108,"(Timestamp('2021-08-23 10:00:00'), Timestamp('2021-08-23 20:00:00'))"
109,"(Timestamp('2021-08-23 21:00:00'), Timestamp('2021-08-24 02:00:00'))"
110,"(Timestamp('2021-08-24 11:00:00'), Timestamp('2021-08-25 01:00:00'))"
111,"(Timestamp('2021-08-25 09:00:00'), Timestamp('2021-08-26 02:00:00'))"
112,"(Timestamp('2021-08-28 10:00:00'), Timestamp('2021-08-28 15:00:00'))"
113,"(Timestamp('2021-08-29 09:00:00'), Timestamp('2021-08-29 19:00:00'))"
114,"(Timestamp('2021-08-29 20:00:00'), Timestamp('2021-08-30 02:00:00'))"
115,"(Timestamp('2021-08-30 09:00:00'), Timestamp('2021-08-31 02:00:00'))"
116,"(Timestamp('2021-08-31 10:00:00'), Timestamp('2021-09-01 02:00:00'))"
117,"(Timestamp('2021-09-02 11:00:00'), Timestamp('2021-09-03 02:00:00'))"
118,"(Timestamp('2021-09-04 22:00:00'), Timestamp('2021-09-05 02:00:00'))"
119,"(Timestamp('2021-09-06 11:00:00'), Timestamp('2021-09-07 02:00:00'))"
120,"(Timestamp('2021-09-11 10:00:00'), Timestamp('2021-09-11 13:00:00'))"
121,"(Timestamp('2021-09-11 15:00:00'), Timestamp('2021-09-11 23:00:00'))"
122,"(Timestamp('2021-09-14 11:00:00'), Timestamp('2021-09-14 23:00:00'))"
123,"(Timestamp('2021-09-15 11:00:00'), Timestamp('2021-09-15 23:00:00'))"
124,"(Timestamp('2021-10-26 18:00:00'), Timestamp('2021-10-26 21:00:00'))"
125,"(Timestamp('2021-10-31 18:00:00'), Timestamp('2021-10-31 21:00:00'))"
126,"(Timestamp('2021-11-01 18:00:00'), Timestamp('2021-11-01 21:00:00'))"
127,"(Timestamp('2021-11-03 18:00:00'), Timestamp('2021-11-03 21:00:00'))"
128,"(Timestamp('2021-11-05 18:00:00'), Timestamp('2021-11-05 21:00:00'))"
129,"(Timestamp('2021-11-11 18:00:00'), Timestamp('2021-11-11 21:00:00'))"
130,"(Timestamp('2021-11-12 18:00:00'), Timestamp('2021-11-12 21:00:00'))"
131,"(Timestamp('2021-11-13 18:00:00'), Timestamp('2021-11-13 21:00:00'))"
132,"(Timestamp('2021-11-14 18:00:00'), Timestamp('2021-11-14 21:00:00'))"
133,"(Timestamp('2021-11-17 18:00:00'), Timestamp('2021-11-17 21:00:00'))"
134,"(Timestamp('2021-11-18 18:00:00'), Timestamp('2021-11-18 21:00:00'))"
135,"(Timestamp('2021-11-22 18:00:00'), Timestamp('2021-11-22 21:00:00'))"
136,"(Timestamp('2022-06-23 12:00:00'), Timestamp('2022-06-23 19:00:00'))"
137,"(Timestamp('2022-06-24 12:00:00'), Timestamp('2022-06-25 01:00:00'))"
138,"(Timestamp('2021-11-24 18:00:00'), Timestamp('2021-11-24 21:00:00'))"
139,"(Timestamp('2022-06-25 09:00:00'), Timestamp('2022-06-26 01:00:00'))"
140,"(Timestamp('2022-06-26 22:00:00'), Timestamp('2022-06-27 02:00:00'))"
141,"(Timestamp('2022-06-27 11:00:00'), Timestamp('2022-06-28 00:00:00'))"
142,"(Timestamp('2021-11-28 18:00:00'), Timestamp('2021-11-28 21:00:00'))"
143,"(Timestamp('2022-06-28 10:00:00'), Timestamp('2022-06-28 18:00:00'))"
144,"(Timestamp('2022-06-28 21:00:00'), Timestamp('2022-06-29 02:00:00'))"
145,"(Timestamp('2021-11-30 18:00:00'), Timestamp('2021-11-30 21:00:00'))"
146,"(Timestamp('2022-06-29 22:00:00'), Timestamp('2022-06-30 02:00:00'))"
147,"(Timestamp('2022-06-30 11:00:00'), Timestamp('2022-06-30 15:00:00'))"
148,"(Timestamp('2021-12-02 18:00:00'), Timestamp('2021-12-02 21:00:00'))"
149,"(Timestamp('2022-06-30 22:00:00'), Timestamp('2022-07-01 02:00:00'))"
150,"(Timestamp('2021-12-04 18:00:00'), Timestamp('2021-12-04 21:00:00'))"
151,"(Timestamp('2022-07-01 23:00:00'), Timestamp('2022-07-02 02:00:00'))"
152,"(Timestamp('2022-07-02 23:00:00'), Timestamp('2022-07-03 02:00:00'))"
153,"(Timestamp('2022-07-04 15:00:00'), Timestamp('2022-07-04 19:00:00'))"
154,"(Timestamp('2022-07-04 22:00:00'), Timestamp('2022-07-05 02:00:00'))"
155,"(Timestamp('2022-07-05 10:00:00'), Timestamp('2022-07-06 01:00:00'))"
156,"(Timestamp('2022-07-07 22:00:00'), Timestamp('2022-07-08 01:00:00'))"
157,"(Timestamp('2022-07-08 23:00:00'), Timestamp('2022-07-09 02:00:00'))"
158,"(Timestamp('2022-07-09 23:00:00'), Timestamp('2022-07-10 02:00:00'))"
159,"(Timestamp('2022-07-10 13:00:00'), Timestamp('2022-07-11 02:00:00'))"
160,"(Timestamp('2022-07-11 09:00:00'), Timestamp('2022-07-12 02:00:00'))"
161,"(Timestamp('2022-07-12 11:00:00'), Timestamp('2022-07-13 02:00:00'))"
162,"(Timestamp('2022-07-13 10:00:00'), Timestamp('2022-07-13 19:00:00'))"
163,"(Timestamp('2022-07-13 22:00:00'), Timestamp('2022-07-14 02:00:00'))"
164,"(Timestamp('2022-07-14 10:00:00'), Timestamp('2022-07-15 02:00:00'))"
165,"(Timestamp('2022-07-16 09:00:00'), Timestamp('2022-07-17 02:00:00'))"
166,"(Timestamp('2022-07-18 10:00:00'), Timestamp('2022-07-19 02:00:00'))"
167,"(Timestamp('2022-07-20 10:00:00'), Timestamp('2022-07-21 02:00:00'))"
168,"(Timestamp('2022-07-21 09:00:00'), Timestamp('2022-07-22 02:00:00'))"
169,"(Timestamp('2022-07-22 11:00:00'), Timestamp('2022-07-22 19:00:00'))"
170,"(Timestamp('2022-07-23 22:00:00'), Timestamp('2022-07-24 02:00:00'))"
171,"(Timestamp('2022-07-24 22:00:00'), Timestamp('2022-07-25 01:00:00'))"
172,"(Timestamp('2022-07-25 10:00:00'), Timestamp('2022-07-26 01:00:00'))"
173,"(Timestamp('2022-07-26 12:00:00'), Timestamp('2022-07-27 01:00:00'))"
174,"(Timestamp('2022-07-27 09:00:00'), Timestamp('2022-07-27 13:00:00'))"
175,"(Timestamp('2022-07-29 11:00:00'), Timestamp('2022-07-29 18:00:00'))"
176,"(Timestamp('2022-07-29 22:00:00'), Timestamp('2022-07-30 01:00:00'))"
177,"(Timestamp('2022-07-30 12:00:00'), Timestamp('2022-07-30 17:00:00'))"
178,"(Timestamp('2022-07-30 20:00:00'), Timestamp('2022-07-31 01:00:00'))"
179,"(Timestamp('2022-07-31 20:00:00'), Timestamp('2022-08-01 02:00:00'))"
180,"(Timestamp('2022-08-01 21:00:00'), Timestamp('2022-08-02 00:00:00'))"
181,"(Timestamp('2022-02-24 18:00:00'), Timestamp('2022-02-24 21:00:00'))"
182,"(Timestamp('2022-03-02 18:00:00'), Timestamp('2022-03-02 21:00:00'))"
183,"(Timestamp('2022-03-04 18:00:00'), Timestamp('2022-03-04 21:00:00'))"
184,"(Timestamp('2022-03-05 18:00:00'), Timestamp('2022-03-05 21:00:00'))"
185,"(Timestamp('2022-03-07 18:00:00'), Timestamp('2022-03-07 21:00:00'))"
186,"(Timestamp('2022-03-09 18:00:00'), Timestamp('2022-03-09 21:00:00'))"
187,"(Timestamp('2022-03-10 18:00:00'), Timestamp('2022-03-10 21:00:00'))"
188,"(Timestamp('2022-03-11 18:00:00'), Timestamp('2022-03-11 21:00:00'))"
189,"(Timestamp('2022-03-14 18:00:00'), Timestamp('2022-03-14 21:00:00'))"
190,"(Timestamp('2022-05-22 11:00:00'), Timestamp('2022-05-22 18:00:00'))"
191,"(Timestamp('2022-05-23 11:00:00'), Timestamp('2022-05-23 19:00:00'))"
192,"(Timestamp('2022-05-24 11:00:00'), Timestamp('2022-05-24 15:00:00'))"
193,"(Timestamp('2022-05-24 22:00:00'), Timestamp('2022-05-25 02:00:00'))"
194,"(Timestamp('2022-05-25 09:00:00'), Timestamp('2022-05-25 12:00:00'))"
195,"(Timestamp('2022-05-26 09:00:00'), Timestamp('2022-05-26 13:00:00'))"
196,"(Timestamp('2022-05-27 22:00:00'), Timestamp('2022-05-28 01:00:00'))"
197,"(Timestamp('2022-05-28 10:00:00'), Timestamp('2022-05-28 17:00:00'))"
198,"(Timestamp('2022-05-29 09:00:00'), Timestamp('2022-05-29 15:00:00'))"
199,"(Timestamp('2022-05-30 12:00:00'), Timestamp('2022-05-31 01:00:00'))"
200,"(Timestamp('2022-05-31 22:00:00'), Timestamp('2022-06-01 02:00:00'))"
201,"(Timestamp('2022-06-01 10:00:00'), Timestamp('2022-06-01 16:00:00'))"
202,"(Timestamp('2022-06-02 12:00:00'), Timestamp('2022-06-02 22:00:00'))"
203,"(Timestamp('2022-06-03 12:00:00'), Timestamp('2022-06-03 15:00:00'))"
204,"(Timestamp('2022-06-04 15:00:00'), Timestamp('2022-06-05 02:00:00'))"
205,"(Timestamp('2022-06-05 12:00:00'), Timestamp('2022-06-05 23:00:00'))"
206,"(Timestamp('2022-06-06 10:00:00'), Timestamp('2022-06-06 23:00:00'))"
207,"(Timestamp('2022-06-07 10:00:00'), Timestamp('2022-06-08 01:00:00'))"
208,"(Timestamp('2022-06-08 10:00:00'), Timestamp('2022-06-09 02:00:00'))"
209,"(Timestamp('2022-06-10 14:00:00'), Timestamp('2022-06-10 18:00:00'))"
210,"(Timestamp('2022-06-11 12:00:00'), Timestamp('2022-06-11 19:00:00'))"
211,"(Timestamp('2022-06-11 22:00:00'), Timestamp('2022-06-12 01:00:00'))"
212,"(Timestamp('2022-06-12 11:00:00'), Timestamp('2022-06-12 18:00:00'))"
213,"(Timestamp('2022-06-12 21:00:00'), Timestamp('2022-06-13 02:00:00'))"
214,"(Timestamp('2022-06-13 11:00:00'), Timestamp('2022-06-13 17:00:00'))"
215,"(Timestamp('2022-06-13 21:00:00'), Timestamp('2022-06-14 01:00:00'))"
216,"(Timestamp('2022-06-14 13:00:00'), Timestamp('2022-06-14 18:00:00'))"
217,"(Timestamp('2022-06-15 10:00:00'), Timestamp('2022-06-15 19:00:00'))"
218,"(Timestamp('2022-06-15 22:00:00'), Timestamp('2022-06-16 02:00:00'))"
219,"(Timestamp('2022-06-16 11:00:00'), Timestamp('2022-06-17 02:00:00'))"
220,"(Timestamp('2022-06-17 12:00:00'), Timestamp('2022-06-18 01:00:00'))"
221,"(Timestamp('2022-06-18 10:00:00'), Timestamp('2022-06-19 02:00:00'))"
222,"(Timestamp('2022-06-19 10:00:00'), Timestamp('2022-06-20 01:00:00'))"
223,"(Timestamp('2022-06-20 11:00:00'), Timestamp('2022-06-21 02:00:00'))"
224,"(Timestamp('2022-06-21 11:00:00'), Timestamp('2022-06-22 01:00:00'))"
225,"(Timestamp('2022-06-22 09:00:00'), Timestamp('2022-06-23 00:00:00'))"
226,"(Timestamp('2022-08-02 11:00:00'), Timestamp('2022-08-02 19:00:00'))"
227,"(Timestamp('2022-08-02 22:00:00'), Timestamp('2022-08-03 02:00:00'))"
228,"(Timestamp('2022-08-03 09:00:00'), Timestamp('2022-08-04 02:00:00'))"
229,"(Timestamp('2022-08-05 10:00:00'), Timestamp('2022-08-06 02:00:00'))"
230,"(Timestamp('2022-08-06 09:00:00'), Timestamp('2022-08-07 02:00:00'))"
231,"(Timestamp('2022-08-07 12:00:00'), Timestamp('2022-08-08 02:00:00'))"
232,"(Timestamp('2022-08-08 15:00:00'), Timestamp('2022-08-08 19:00:00'))"
233,"(Timestamp('2022-08-09 22:00:00'), Timestamp('2022-08-10 01:00:00'))"
234,"(Timestamp('2022-08-11 09:00:00'), Timestamp('2022-08-12 02:00:00'))"
235,"(Timestamp('2022-08-12 12:00:00'), Timestamp('2022-08-13 02:00:00'))"
236,"(Timestamp('2022-08-13 09:00:00'), Timestamp('2022-08-14 02:00:00'))"
237,"(Timestamp('2022-08-14 10:00:00'), Timestamp('2022-08-15 02:00:00'))"
238,"(Timestamp('2022-08-15 10:00:00'), Timestamp('2022-08-16 02:00:00'))"
239,"(Timestamp('2022-08-18 09:00:00'), Timestamp('2022-08-19 02:00:00'))"
240,"(Timestamp('2022-08-19 11:00:00'), Timestamp('2022-08-20 02:00:00'))"
241,"(Timestamp('2022-08-21 10:00:00'), Timestamp('2022-08-21 19:00:00'))"
242,"(Timestamp('2022-08-21 21:00:00'), Timestamp('2022-08-22 02:00:00'))"
243,"(Timestamp('2022-08-22 10:00:00'), Timestamp('2022-08-22 23:00:00'))"
